Tên khuyến mại,Ngày bắt đầu,Ngày kết thúc,Chiến dịch,Ngành hàng,Mô tả khuyến mại,Mã giảm giá,Thông tin mã giảm giá,Banner link,Mã Nhúng Banner,Kích thước banner,Link gốc,Link phân phối
Giảm 5%,21-06-2021,05-10-2021,Shopee Việt Nam Smartlink cho tất cả thiết bị,Other,Giảm 5%,APP1MAY100K,,,,,https://shopee.vn/universal-link/m/airpay?ref=coupon,https://go.isclix.com/deep_link/5067581744242229818?url=https://shopee.vn/universal-link/m/airpay?ref=coupon
Giảm 10%,21-06-2021,05-10-2021,Shopee Việt Nam Smartlink cho tất cả thiết bị,Other,Giảm 10%,APP1MAY20K,,,,,https://shopee.vn/universal-link/m/airpay?ref=coupon,https://go.isclix.com/deep_link/5067581744242229818?url=https://shopee.vn/universal-link/m/airpay?ref=coupon
Giảm 1Tr,04-05-2021,30-09-2021,Shopee Việt Nam Smartlink cho tất cả thiết bị,Other,,,,,,,https://shopee.vn/universal-link/search?promotionId=77017867&signature=3ebc7c19bb4a184aae4187da4443cb1e78408777cddb780545bb1c93f8c45ebe&voucherCode=COSAHC,https://go.isclix.com/deep_link/5067581744242229818?url=https://shopee.vn/universal-link/search?promotionId=77017867&signature=3ebc7c19bb4a184aae4187da4443cb1e78408777cddb780545bb1c93f8c45ebe&voucherCode=COSAHC
"Voucher 3,5Tr",21-06-2021,30-06-2021,Shopee Việt Nam Smartlink cho tất cả thiết bị,Other,,,,,,,https://shopee.vn/universal-link/m/durex1305?ref=coupon,https://go.isclix.com/deep_link/5067581744242229818?url=https://shopee.vn/universal-link/m/durex1305?ref=coupon
Voucher 3Tr,21-06-2021,30-06-2021,Shopee Việt Nam Smartlink cho tất cả thiết bị,Other,,,,,,,https://shopee.vn/universal-link/search?promotionId=79206914&signature=8c85e3d5e6da44d47e114cae42076ceac7e397c5e622a65dfdae93b56b66602d&voucherCode=COSH6&ref=coupon,https://go.isclix.com/deep_link/5067581744242229818?url=https://shopee.vn/universal-link/search?promotionId=79206914&signature=8c85e3d5e6da44d47e114cae42076ceac7e397c5e622a65dfdae93b56b66602d&voucherCode=COSH6&ref=coupon
Giảm 250K,23-04-2021,30-06-2021,Shopee Việt Nam Smartlink cho tất cả thiết bị,Other,,,,,,,https://shopee.vn/universal-link/V%C3%A1y-B%C3%A9-G%C3%A1i-D%C3%A1ng-X%C3%B2e-Ph%E1%BB%91i-Ren-2-M%C3%A0u-Th%E1%BB%9Di-Trang-Si%C3%AAu-Xinh-BELLO-LAND-i.289950812.8833576781,https://go.isclix.com/deep_link/5067581744242229818?url=https://shopee.vn/universal-link/V%C3%A1y-B%C3%A9-G%C3%A1i-D%C3%A1ng-X%C3%B2e-Ph%E1%BB%91i-Ren-2-M%C3%A0u-Th%E1%BB%9Di-Trang-Si%C3%AAu-Xinh-BELLO-LAND-i.289950812.8833576781
Giản 150K,21-06-2021,31-12-2021,Shopee Việt Nam Smartlink cho tất cả thiết bị,Other,,,,,,,https://shopee.vn/universal-link/m/nap-the-va-dich-vu-online?ref=coupon,https://go.isclix.com/deep_link/5067581744242229818?url=https://shopee.vn/universal-link/m/nap-the-va-dich-vu-online?ref=coupon
Giảm 400k,21-06-2021,30-09-2021,Shopee Việt Nam Smartlink cho tất cả thiết bị,Other,,,,,,,https://shopee.vn/universal-link/m/durex1305?ref=coupon,https://go.isclix.com/deep_link/5067581744242229818?url=https://shopee.vn/universal-link/m/durex1305?ref=coupon
Giảm 600K,21-06-2021,30-09-2021,Shopee Việt Nam Smartlink cho tất cả thiết bị,Other,,,,,,,https://shopee.vn/universal-link/search?locations=-2&promotionId=79064913&signature=a548f361580cef193d1085328f3a607d661a827ac9e85e815dd9295f3c797d07&sortBy=relevancy&voucherCode=CBMMAY01&ref=coupon,https://go.isclix.com/deep_link/5067581744242229818?url=https://shopee.vn/universal-link/search?locations=-2&promotionId=79064913&signature=a548f361580cef193d1085328f3a607d661a827ac9e85e815dd9295f3c797d07&sortBy=relevancy&voucherCode=CBMMAY01&ref=coupon
Giảm 2Tr,17-05-2021,30-09-2021,Shopee Việt Nam Smartlink cho tất cả thiết bị,Other,,,,,,,https://shopee.vn/universal-link/search?promotionId=78996804,https://go.isclix.com/deep_link/5067581744242229818?url=https://shopee.vn/universal-link/search?promotionId=78996804
